time, iteration, regSquaredError
2017-05-24 19:34:30,1,699052.444708706
2017-05-24 19:35:18,2,222285.750265864
2017-05-24 19:36:06,3,152472.378700214
2017-05-24 19:36:47,4,133129.440245312
2017-05-24 19:37:28,5,124605.268931225
2017-05-24 19:38:09,6,120011.59667998
2017-05-24 19:38:50,7,117235.621350968
2017-05-24 19:39:31,8,115425.497207079
2017-05-24 19:40:13,9,114176.153384713
2017-05-24 19:40:54,10,113272.430952414
2017-05-24 19:41:35,11,112590.423231517
2017-05-24 19:42:16,12,112053.958177646
2017-05-24 19:42:57,13,111613.371059432
2017-05-24 19:43:38,14,111234.359507427
2017-05-24 19:44:19,15,110891.847396811
2017-05-24 19:45:00,16,110566.587448821
2017-05-24 19:45:41,17,110243.445858632
2017-05-24 19:46:22,18,109910.848944824
2017-05-24 19:47:02,19,109561.046992069
2017-05-24 19:47:44,20,109190.783978536
2017-05-24 19:48:25,21,108801.77388601
2017-05-24 19:49:06,22,108400.303425374
2017-05-24 19:49:47,23,107995.580672218
2017-05-24 19:50:28,24,107597.156492421
2017-05-24 19:51:09,25,107212.413533485
2017-05-24 19:51:50,26,106845.142004581
2017-05-24 19:52:31,27,106495.537349608
2017-05-24 19:53:12,28,106161.17450613
2017-05-24 19:53:53,29,105838.231756871
2017-05-24 19:54:34,30,105522.463191687
2017-05-24 19:55:15,31,105209.78131997
2017-05-24 19:55:56,32,104896.534382537
2017-05-24 19:56:37,33,104579.614617245
2017-05-24 19:57:18,34,104256.49813998
2017-05-24 19:57:59,35,103925.266714037
2017-05-24 19:58:40,36,103584.625631246
2017-05-24 19:59:21,37,103233.913012565
2017-05-24 20:00:02,38,102873.08917016
2017-05-24 20:00:43,39,102502.695684344
2017-05-24 20:01:24,40,102123.779431811
2017-05-24 20:02:04,41,101737.784481372
2017-05-24 20:02:45,42,101346.422144664
2017-05-24 20:03:26,43,100951.534376657
2017-05-24 20:04:07,44,100554.966832381
2017-05-24 20:04:48,45,100158.465125712
2017-05-24 20:05:29,46,99763.6023326268
2017-05-24 20:06:10,47,99371.7393559095
2017-05-24 20:06:51,48,98984.0142197277
2017-05-24 20:07:32,49,98601.3528866877
2017-05-24 20:08:13,50,98224.4931214027
2017-05-24 20:08:54,51,97854.0138409671
2017-05-24 20:09:35,52,97490.3644481066
2017-05-24 20:10:16,53,97133.8909587914
2017-05-24 20:10:57,54,96784.8576761581
2017-05-24 20:11:38,55,96443.4644377636
2017-05-24 20:12:19,56,96109.8600797232
2017-05-24 20:13:00,57,95784.1528973031
2017-05-24 20:13:41,58,95466.4187606935
2017-05-24 20:14:22,59,95156.707349392
2017-05-24 20:15:03,60,94855.0468088337
2017-05-24 20:15:44,61,94561.447046642
2017-05-24 20:16:25,62,94275.901866329
2017-05-24 20:17:06,63,93998.3901541631
2017-05-24 20:17:47,64,93728.8763603077
2017-05-24 20:18:28,65,93467.3105268334
2017-05-24 20:19:09,66,93213.6281038798
2017-05-24 20:19:50,67,92967.7497609928
2017-05-24 20:20:31,68,92729.581350904
2017-05-24 20:21:12,69,92499.0141264256
2017-05-24 20:21:54,70,92275.9252567742
2017-05-24 20:22:35,71,92060.1786433037
2017-05-24 20:23:16,72,91851.6260004615
2017-05-24 20:23:57,73,91650.108146438
2017-05-24 20:24:38,74,91455.4564381832
2017-05-24 20:25:19,75,91267.4942853134
2017-05-24 20:25:59,76,91086.0386834881
2017-05-24 20:26:40,77,90910.9017178653
2017-05-24 20:27:21,78,90741.8919986268
2017-05-24 20:28:02,79,90578.8160015918
2017-05-24 20:28:43,80,90421.4792970051
2017-05-24 20:29:24,81,90269.6876575124
2017-05-24 20:30:05,82,90123.2480425352
2017-05-24 20:30:46,83,89981.9694608299
2017-05-24 20:31:27,84,89845.6637158988
2017-05-24 20:32:08,85,89714.1460408861
2017-05-24 20:32:49,86,89587.2356306019
2017-05-24 20:33:30,87,89464.7560788846
2017-05-24 20:34:11,88,89346.5357295156
2017-05-24 20:34:51,89,89232.4079489547
2017-05-24 20:35:33,90,89122.2113287353
2017-05-24 20:36:14,91,89015.7898252443
2017-05-24 20:36:54,92,88912.992844009
2017-05-24 20:37:35,93,88813.6752754534
2017-05-24 20:38:16,94,88717.6974884088
2017-05-24 20:38:57,95,88624.9252874863
2017-05-24 20:39:38,96,88535.2298397751
2017-05-24 20:40:19,97,88448.4875759755
2017-05-24 20:41:00,98,88364.5800705775
2017-05-24 20:41:41,99,88283.3939053559
2017-05-24 20:42:22,100,88204.8205198041
2017-05-24 20:43:03,101,88128.7560519044
2017-05-24 20:43:43,102,88055.1011721663
2017-05-24 20:44:24,103,87983.76091335
2017-05-24 20:45:05,104,87914.6444981776
2017-05-24 20:45:46,105,87847.6651667677
2017-05-24 20:46:27,106,87782.7400053195
2017-05-24 20:47:08,107,87719.7897773935
2017-05-24 20:47:49,108,87658.7387587033
2017-05-24 20:48:30,109,87599.5145762517
2017-05-24 20:49:11,110,87542.048052419
